steps: 10000
rand_range: (-0.05, 0.05)


Expression || Steps without change || Distance to next change || Distance since start || Norm || Is Unique || Coordinates

X/X || 1 || 0.431269109249115 || 0 || 5.944781303405762 || True || None
X || 10 || 0.9838182926177979 || 0.431269109249115 || 6.016150951385498 || True || None
X/X || 2 || 0.4969044327735901 || 1.0960783958435059 || 6.195533752441406 || False || None
X || 9 || 0.8997756838798523 || 1.0086748600006104 || 6.226902484893799 || False || None
X/X || 6 || 0.7659699320793152 || 1.287475824356079 || 6.402723789215088 || False || None
X || 470 || 5.268362998962402 || 1.4377753734588623 || 6.4049530029296875 || False || None
X*log(X) || 8 || 0.821194589138031 || 5.390895843505859 || 7.814668655395508 || True || None
X*X || 10 || 0.8934610486030579 || 5.083115577697754 || 7.5313544273376465 || True || None
X || 2 || 0.4816407561302185 || 5.096604824066162 || 7.351902008056641 || False || None
X*X || 4 || 0.7226779460906982 || 5.269796371459961 || 7.42552375793457 || False || None
X || 0 || 0.2758956849575043 || 5.310142993927002 || 7.465764045715332 || False || None
X*X || 0 || 0.3013412654399872 || 5.37283182144165 || 7.554222106933594 || False || None
X || 3 || 0.6015523672103882 || 5.37093448638916 || 7.5348734855651855 || False || None
X/X || 9 || 1.026476263999939 || 5.521970272064209 || 7.653873920440674 || False || None
X || 0 || 0.2317391335964203 || 6.0243306159973145 || 8.004220962524414 || False || None
X/X || 8 || 0.7390657663345337 || 6.108194351196289 || 8.013764381408691 || False || None
X/log(X) || 9 || 0.8353774547576904 || 5.971877574920654 || 7.881973743438721 || True || None
X/X^4 || 0 || 0.3308612108230591 || 5.879220485687256 || 7.643514156341553 || True || None
X/log(X) || 1 || 0.39566415548324585 || 5.9229631423950195 || 7.674580097198486 || False || None
X/X^4 || 4 || 0.5750230550765991 || 6.00338077545166 || 7.782646656036377 || False || None
X/log(X) || 15 || 0.9665848016738892 || 5.96735954284668 || 7.589717864990234 || False || None
X/log(X/X) || 18 || 1.3259073495864868 || 6.048485279083252 || 7.526769638061523 || True || None
X*log(X/X) || 0 || 0.2972874939441681 || 6.2297797203063965 || 7.411859035491943 || True || None
X/log(X/X) || 0 || 0.23728249967098236 || 6.21435546875 || 7.392926216125488 || False || None
X*log(X/X) || 10 || 0.8905842304229736 || 6.2788987159729 || 7.470474720001221 || False || None
X*log(X) || 5 || 0.5642327666282654 || 6.31731653213501 || 7.4023871421813965 || False || None
X*log(X/X) || 0 || 0.28389763832092285 || 6.2654266357421875 || 7.4011454582214355 || False || None
X*log(X) || 1 || 0.39705678820610046 || 6.237955093383789 || 7.362295150756836 || False || None
X*log(X/X) || 2 || 0.49960941076278687 || 6.1345601081848145 || 7.291801929473877 || False || None
X*log(X) || 5 || 0.7236538529396057 || 6.034419059753418 || 7.258835792541504 || False || None
X*log(X/X) || 0 || 0.26529937982559204 || 6.139540672302246 || 7.443996906280518 || False || None
X*log(X) || 0 || 0.2706100344657898 || 6.1920671463012695 || 7.491146087646484 || False || None
X*log(X/X) || 0 || 0.3105851709842682 || 6.1836466789245605 || 7.476650238037109 || False || None
X*log(X) || 1 || 0.48656657338142395 || 6.176662445068359 || 7.5410003662109375 || False || None
X*log(X/X) || 21 || 1.319946527481079 || 6.266674995422363 || 7.580301761627197 || False || None
X/log(X/X) || 0 || 0.32916268706321716 || 6.598189830780029 || 7.867088317871094 || False || None
X/log(X) || 7 || 0.9027585983276367 || 6.651498794555664 || 7.915228843688965 || False || None
X/cos(X) || 4 || 0.6001095771789551 || 6.431018829345703 || 7.761816501617432 || True || None
X/log(X) || 14 || 1.2163090705871582 || 6.440272808074951 || 7.662769317626953 || False || None
X*log(X) || 0 || 0.3061627447605133 || 6.832664489746094 || 7.968071460723877 || False || None
X/log(X) || 1 || 0.3796499967575073 || 6.74949312210083 || 7.90054178237915 || False || None
X*log(X) || 20 || 1.3332617282867432 || 6.738496780395508 || 7.8686041831970215 || False || None
X*X || 0 || 0.2951143980026245 || 6.810347557067871 || 8.179747581481934 || False || None
X*log(X) || 0 || 0.26738157868385315 || 6.787288188934326 || 8.171916007995605 || False || None
X*X || 66 || 2.0229876041412354 || 6.763898849487305 || 8.146442413330078 || False || None
X*X^3 || 0 || 0.28509944677352905 || 6.572869300842285 || 7.661096096038818 || True || None
X*X || 2 || 0.5782321095466614 || 6.600068092346191 || 7.687905311584473 || False || None
X*X^3 || 0 || 0.22465357184410095 || 6.604709148406982 || 7.646431922912598 || False || None
X*X || 63 || 2.722465753555298 || 6.649997234344482 || 7.688543319702148 || False || None
(X/sin(X))*X || 5 || 0.7340969443321228 || 6.066172122955322 || 7.596774578094482 || True || None
(X*sin(X))*X || 0 || 0.29716238379478455 || 6.362508296966553 || 7.846564769744873 || True || None
(X/sin(X))*X || 0 || 0.31457212567329407 || 6.43407678604126 || 7.914068222045898 || False || None
(X*sin(X))*X || 0 || 0.3058830201625824 || 6.465299606323242 || 7.944572925567627 || False || None
X*X || 0 || 0.2814534902572632 || 6.467611312866211 || 7.953088283538818 || False || None
(X/sin(X))*X || 6 || 0.7841975688934326 || 6.504669189453125 || 7.899042129516602 || False || None
(X/X)*X || 3 || 0.6288752555847168 || 6.646728515625 || 8.201509475708008 || True || None
(X/sin(X))*X || 2 || 0.5016165971755981 || 6.939933776855469 || 8.463112831115723 || False || None
(X/X^4)*X || 0 || 0.25372540950775146 || 6.9356160163879395 || 8.467105865478516 || True || None
(X/sin(X))*X || 7 || 0.7943071126937866 || 6.863122940063477 || 8.3588228225708 || False || None
