steps: 10000
rand_range: (-0.05, 0.05)


Expression || Steps without change || Distance to next change || Distance since start || Norm || Is Unique || Coordinates

exp((X*X)*X)*X || 0 || 0.2642625868320465 || 0 || 5.461036682128906 || True || None
exp((X/X)*X)*X || 2 || 0.4857295751571655 || 0.2642625868320465 || 5.4263715744018555 || True || None
exp((X*X)*X)*X || 4 || 0.5771894454956055 || 0.5538219213485718 || 5.347742557525635 || False || None
exp((X/X)*X)*X || 0 || 0.3119938373565674 || 0.8782128691673279 || 5.439232349395752 || False || None
exp((X*X)*X)*X || 2 || 0.5152605772018433 || 0.9443876147270203 || 5.503959655761719 || False || None
exp((X*X)/X)*X || 3 || 0.5050879120826721 || 1.10097074508667 || 5.474698066711426 || True || None
exp((X*X)*X)/X || 0 || 0.23854434490203857 || 1.2089638710021973 || 5.49752950668335 || True || None
exp((X*X)*X)*X || 1 || 0.41546857357025146 || 1.2285202741622925 || 5.532251834869385 || False || None
exp((X/X)*X)*X || 45 || 1.7670801877975464 || 1.347876787185669 || 5.583524227142334 || False || None
exp((X/X)*X)*(X/X) || 2 || 0.4560101628303528 || 2.439173936843872 || 5.917011260986328 || True || None
exp((X/X)^4)*X || 0 || 0.31407585740089417 || 2.456313371658325 || 5.919713973999023 || True || None
exp((X/X)/X)*X || 0 || 0.28324243426322937 || 2.4895310401916504 || 5.783360004425049 || True || None
exp((X/X)^4)*X || 0 || 0.27872154116630554 || 2.580514907836914 || 5.823609352111816 || False || None
exp((X/X)^4)*(X/X) || 0 || 0.27007830142974854 || 2.6075243949890137 || 5.784068584442139 || True || None
exp((X/X)^4)*X || 0 || 0.2066899985074997 || 2.585916042327881 || 5.7468719482421875 || False || None
exp((X/X)^4)*(X/X) || 1 || 0.42358556389808655 || 2.6266491413116455 || 5.792045593261719 || False || None
exp((X/X)^4)*X || 3 || 0.6426352858543396 || 2.5913212299346924 || 5.761505126953125 || False || None
exp(((X*X)/X)*X)*(X/X) || 0 || 0.2554893493652344 || 2.4980008602142334 || 5.69451379776001 || True || None
exp((X/X)*X)*(X/X) || 3 || 0.4972935616970062 || 2.449760675430298 || 5.672998905181885 || False || None
