steps: 10000
rand_range: (-0.05, 0.05)


Expression || Steps without change || Distance to next change || Distance since start || Norm || Is Unique || Coordinates
sqrt(X*X) || 0 || 0.3019430637359619 || 7.248246669769287 || 8.946388244628906 || False || None
exp(X*X) || 0 || 0.35709360241889954 || 7.215933799743652 || 8.978272438049316 || True || None
sqrt(X*sin(X)) || 1 || 0.38594818115234375 || 7.334194183349609 || 9.025052070617676 || False || None
sqrt(X*X) || 9 || 0.9273623824119568 || 7.326421737670898 || 9.014753341674805 || False || None
exp(X*X) || 1 || 0.40929073095321655 || 7.421061992645264 || 9.096599578857422 || False || None
sqrt(X*X) || 0 || 0.2372930645942688 || 7.5211286544799805 || 9.07984447479248 || False || None
exp(X*X) || 20 || 1.3736629486083984 || 7.536099910736084 || 9.001609802246094 || False || None
exp(X) || 14 || 1.0845763683319092 || 7.926432132720947 || 9.438854217529297 || True || None
sqrt(X) || 0 || 0.2774553596973419 || 7.8962483406066895 || 9.336999893188477 || False || None
exp(X) || 57 || 2.177107810974121 || 7.917893886566162 || 9.360422134399414 || False || None
sin(X) || 0 || 0.3196612298488617 || 8.222314834594727 || 9.808926582336426 || True || None
exp(X) || 0 || 0.274558961391449 || 8.254404067993164 || 9.786601066589355 || False || None
sqrt(X) || 7 || 0.8442586064338684 || 8.229918479919434 || 9.727157592773438 || False || None
sin(X) || 52 || 1.987823247909546 || 8.438166618347168 || 9.980368614196777 || False || None
exp(X) || 0 || 0.278489887714386 || 8.395082473754883 || 9.782980918884277 || False || None
sin(X) || 2 || 0.5606578588485718 || 8.407894134521484 || 9.7754545211792 || False || None
exp(X) || 2 || 0.4231124520301819 || 8.395479202270508 || 9.799482345581055 || False || None
sqrt(X) || 0 || 0.313847154378891 || 8.358834266662598 || 9.747685432434082 || False || None
exp(X) || 2 || 0.5275896787643433 || 8.4556303024292 || 9.802316665649414 || False || None
sqrt(X) || 1 || 0.4678599536418915 || 8.44614028930664 || 9.844342231750488 || False || None
exp(X) || 1 || 0.43420061469078064 || 8.321537971496582 || 9.656535148620605 || False || None
sqrt(X) || 2 || 0.4512042701244354 || 8.449020385742188 || 9.693243980407715 || False || None
exp(X) || 0 || 0.2815217077732086 || 8.459613800048828 || 9.73768138885498 || False || None
sqrt(X) || 1 || 0.3276057541370392 || 8.48090934753418 || 9.787558555603027 || False || None
sin(X) || 142 || 3.2816412448883057 || 8.561673164367676 || 9.908815383911133 || False || None
sin(X*X) || 0 || 0.3053320050239563 || 8.953787803649902 || 10.106696128845215 || True || None
sin(X) || 6 || 1.0026333332061768 || 8.957999229431152 || 10.110844612121582 || False || None
sin(X*X) || 32 || 1.7487431764602661 || 8.66409969329834 || 9.938289642333984 || False || None
sin(sin(X)) || 0 || 0.3474463224411011 || 9.117077827453613 || 10.348176002502441 || True || None
sin(X*X) || 2 || 0.5690412521362305 || 9.202658653259277 || 10.366008758544922 || False || None
sin(X) || 0 || 0.3437633514404297 || 9.178174018859863 || 10.431407928466797 || False || None
sin(X*X) || 1 || 0.37468552589416504 || 9.26303768157959 || 10.422804832458496 || False || None
sin(X) || 2 || 0.5335171818733215 || 9.31380558013916 || 10.471341133117676 || False || None
sin(X*X) || 1 || 0.48165345191955566 || 9.356605529785156 || 10.487692832946777 || False || None
sin(X) || 2 || 0.42666393518447876 || 9.300607681274414 || 10.421098709106445 || False || None
sin(X*X) || 2 || 0.497187077999115 || 9.348348617553711 || 10.477252960205078 || False || None
sin(X) || 18 || 1.259382724761963 || 9.408310890197754 || 10.58834457397461 || False || None
sin(sin(X)) || 5 || 0.7214102745056152 || 9.671133995056152 || 10.773502349853516 || False || None
sin(X) || 76 || 2.457801103591919 || 9.6105375289917 || 10.688611030578613 || False || None
sin(sin(X)) || 64 || 2.0777976512908936 || 9.152905464172363 || 10.606024742126465 || False || None
sin(X*X) || 10 || 0.9624127149581909 || 9.579415321350098 || 10.918771743774414 || False || None
sin(sin(X)) || 0 || 0.22848325967788696 || 9.736449241638184 || 10.972576141357422 || False || None
sin(X*X) || 0 || 0.2641667425632477 || 9.758833885192871 || 11.023574829101562 || False || None
sin(sin(X)) || 49 || 2.236240863800049 || 9.764530181884766 || 11.037026405334473 || False || None
sin(sin(X/X)) || 2 || 0.47346532344818115 || 9.938820838928223 || 11.308760643005371 || True || None
