Step || Expression || Steps without change || Change Distance|| Complexity || Norm
3 || X/X-X || 3 || 0.6150295734405518 || 2 || 0.0
4 || (C/C)/X-X || 0 || 0.3142717480659485 || 3 || 0.6150295734405518
8 || (C/C-X)+X || 3 || 0.5447716116905212 || 3 || 0.6563611626625061
9 || (C/C)/X+X || 0 || 0.24603748321533203 || 3 || 0.7530934810638428
10 || (C/C-C)+X || 0 || 0.3254314959049225 || 3 || 0.7615633606910706
11 || (X-X)/X || 0 || 0.3268638253211975 || 2 || 0.8254870772361755
12 || (X*C)/X || 0 || 0.3521532714366913 || 2 || 0.8615503311157227
13 || X/X+X || 0 || 0.26432496309280396 || 2 || 0.9131852984428406
17 || X/C+X || 3 || 0.5469038486480713 || 2 || 0.9620347023010254
19 || (X/C)/X || 1 || 0.35931456089019775 || 2 || 1.1851263046264648
20 || (X/C)/C^2 || 0 || 0.26935017108917236 || 3 || 1.1853317022323608
21 || (X/C)/C^C || 0 || 0.32113102078437805 || 3 || 1.2176129817962646
22 || (X/C)/C^2 || 0 || 0.2975616157054901 || 3 || 1.1779645681381226
23 || (X-C)/C^C || 0 || 0.2473471313714981 || 3 || 1.219858169555664
25 || (X-C)/C^2 || 1 || 0.4343467056751251 || 3 || 1.3195987939834595
26 || (X-C)/C^C || 0 || 0.22310815751552582 || 3 || 1.2516179084777832
28 || (C/C-C)/C^C || 1 || 0.43690329790115356 || 4 || 1.3214298486709595
29 || (X-C)/C^C || 0 || 0.2380673736333847 || 3 || 1.4520107507705688
31 || ((C/C)*C)/C^C || 1 || 0.3892277777194977 || 4 || 1.457643985748291
32 || ((C/C)*X)/X || 0 || 0.27291733026504517 || 3 || 1.3985525369644165
34 || (C/C-X)/C^C || 1 || 0.37978076934814453 || 4 || 1.4351691007614136
35 || (C/C-X)/X || 0 || 0.26963067054748535 || 3 || 1.4571703672409058
36 || (C/C-C)/X || 0 || 0.2699179947376251 || 3 || 1.4834420680999756
38 || (C/C-X)/X || 1 || 0.3402112126350403 || 3 || 1.5342721939086914
39 || (C/C-C)/X || 0 || 0.2285860776901245 || 3 || 1.5751311779022217
45 || ((C/C)*C)/X || 5 || 0.4587821960449219 || 3 || 1.5458225011825562
47 || ((C/C)*X)/X || 1 || 0.3482741117477417 || 3 || 1.4826314449310303
48 || (C/C-X)/X || 0 || 0.2656749188899994 || 3 || 1.5263917446136475
51 || (C/X-X)/X || 2 || 0.5605452060699463 || 3 || 1.5500026941299438
52 || (C/C-X)/X || 0 || 0.2981286346912384 || 3 || 1.5655221939086914
53 || (C/X-X)/X || 0 || 0.357258141040802 || 3 || 1.6109815835952759
64 || (X/X-X)/X || 10 || 0.8156571388244629 || 3 || 1.83151376247406
65 || (X/X-X)/C^2 || 0 || 0.293109655380249 || 4 || 2.2408382892608643
72 || (X/X-X)/X || 6 || 0.8037359118461609 || 3 || 2.1637017726898193
74 || (X/X-X)+X || 1 || 0.3361590802669525 || 3 || 2.0757198333740234
75 || (X/X)*X+X || 0 || 0.2933085262775421 || 3 || 2.057265043258667
76 || (X/X-X)+X || 0 || 0.2790195941925049 || 3 || 2.1036136150360107
77 || (X/C-X)+X || 0 || 0.2854037284851074 || 3 || 2.0346720218658447
84 || (X/X-X)+X || 6 || 0.7460500597953796 || 3 || 2.0601422786712646
86 || (X/X)*X+X || 1 || 0.40492621064186096 || 3 || 1.991089105606079
88 || (X/X-X)+X || 1 || 0.41018766164779663 || 3 || 2.010338306427002
91 || (X/X-X)/X || 2 || 0.48518818616867065 || 3 || 2.057281494140625
92 || (C/X-X)/C^3 || 0 || 0.2720804810523987 || 4 || 2.0708210468292236
93 || ((C/X)/X)/X || 0 || 0.2718266546726227 || 3 || 2.0321478843688965
96 || (C/X-X)/C^3 || 2 || 0.5235914587974548 || 4 || 2.0569136142730713
98 || ((C/X)/X)/C^3 || 1 || 0.43143996596336365 || 4 || 2.22438383102417
99 || (C/X)/X+C^3 || 0 || 0.28596818447113037 || 4 || 2.355692148208618
100 || (C/X)/X+C^5 || 0 || 0.28319212794303894 || 4 || 2.4261820316314697
101 || (C/X)/X+X || 0 || 0.2790369987487793 || 3 || 2.409351110458374
109 || (X/X)/X+X || 7 || 0.8230630159378052 || 3 || 2.374577522277832
110 || (X/X-X)+X || 0 || 0.2771729826927185 || 3 || 2.5827291011810303
116 || (X/X)^X+X || 5 || 0.7882822751998901 || 3 || 2.695817470550537
117 || (X/X)/C+X || 0 || 0.29763418436050415 || 3 || 2.560230255126953
118 || (X/X)/X+X || 0 || 0.31636345386505127 || 3 || 2.5820608139038086
119 || (X*X)/C+X || 0 || 0.2706086337566376 || 3 || 2.6354150772094727
120 || sin(X*X)+X || 0 || 0.29766201972961426 || 3 || 2.6413164138793945
121 || (X*X)/C+X || 0 || 0.3273690938949585 || 3 || 2.6436071395874023
123 || sin(X*X)+X || 1 || 0.3691098093986511 || 3 || 2.72648024559021
135 || (X*X)/C+X || 11 || 0.9094498753547668 || 3 || 2.7300124168395996
171 || (X*X)/X+X || 35 || 1.7165669202804565 || 3 || 2.7109615802764893
174 || ((X*X)/X)/X || 2 || 0.4514455199241638 || 3 || 3.1459696292877197
179 || (X*X+X)/X || 4 || 0.5836905837059021 || 3 || 3.190525531768799
182 || (X*X+X)+X || 2 || 0.39632225036621094 || 3 || 3.2565269470214844
183 || (X*X+X)/X || 0 || 0.2248108685016632 || 3 || 3.1485025882720947
184 || (X*X+X)+X || 0 || 0.24731646478176117 || 3 || 3.200355291366577
185 || (X*X+X)/X || 0 || 0.303231418132782 || 3 || 3.2639453411102295
186 || (X*X+X)+X || 0 || 0.27064722776412964 || 3 || 3.291496992111206
187 || (C*X+X)+C^3 || 0 || 0.2494102269411087 || 4 || 3.392108201980591
189 || (X*X+X)+C^3 || 1 || 0.3574402928352356 || 4 || 3.3830406665802
191 || (X*X)/X+C^3 || 1 || 0.4813788831233978 || 4 || 3.5650522708892822
194 || (X*X)/X+X || 2 || 0.46071866154670715 || 3 || 3.4943594932556152
198 || (X*X)/X+sqrt(C) || 3 || 0.5158481597900391 || 4 || 3.454181432723999
202 || (C*X)/X+sqrt(C) || 3 || 0.5748724937438965 || 4 || 3.4598116874694824
204 || (C*C)/X+sqrt(C) || 1 || 0.5434648990631104 || 4 || 3.3592898845672607
205 || ((C*C)/C)/sqrt(C) || 0 || 0.4070962071418762 || 4 || 3.4510250091552734
206 || ((C*C)/C)/sqrt(X) || 0 || 0.25396615266799927 || 4 || 3.492933511734009
207 || ((C*C)/X)/sqrt(X) || 0 || 0.23165525496006012 || 4 || 3.506505012512207
208 || ((C*C)/C)/X^3 || 0 || 0.28244107961654663 || 4 || 3.4561798572540283
210 || ((C*C)/C)/sqrt(C) || 1 || 0.4137628376483917 || 4 || 3.4567205905914307
211 || ((C*C)/C)/C^3 || 0 || 0.2586337924003601 || 4 || 3.4985005855560303
212 || ((C*C)/C)/sqrt(C) || 0 || 0.22248825430870056 || 4 || 3.560964584350586
230 || ((C*C)/C)/sqrt(X) || 17 || 1.0359141826629639 || 4 || 3.618642807006836
231 || (C*C)/C-sqrt(X) || 0 || 0.280966579914093 || 4 || 3.6690168380737305
232 || (C*X)/C-sqrt(C*X) || 0 || 0.26736587285995483 || 5 || 3.7157108783721924
233 || (C*C)/C-sqrt(C*X) || 0 || 0.33785122632980347 || 5 || 3.7192232608795166
234 || sin(C*C)-sqrt(C*X) || 0 || 0.2392922341823578 || 5 || 3.7400131225585938
236 || sin(C*C)-sqrt(X) || 1 || 0.36191344261169434 || 4 || 3.7347030639648438
237 || sin(C*C)/sqrt(C*X) || 0 || 0.2719367444515228 || 5 || 3.886338233947754
239 || exp(C*X)/sqrt(X) || 1 || 0.436441034078598 || 4 || 3.8613979816436768
240 || exp(C*X)-sqrt(X) || 0 || 0.2791866362094879 || 4 || 3.9078099727630615
241 || exp(X)-sqrt(X) || 0 || 0.28762754797935486 || 3 || 3.95092511177063
242 || exp(C*X)-sqrt(C*X) || 0 || 0.24681484699249268 || 5 || 3.9648149013519287
244 || exp(X)/sqrt(C*X) || 1 || 0.45549193024635315 || 4 || 3.960036516189575
246 || exp(C*X)/sqrt(C*X) || 1 || 0.36772915720939636 || 5 || 3.9103851318359375
248 || sin(C*X)/sqrt(C*X) || 1 || 0.5135552287101746 || 5 || 4.0010786056518555
250 || sin(C*C)/sqrt(C*X) || 1 || 0.3802741765975952 || 5 || 4.161932945251465
251 || sin(X)/sqrt(C*X) || 0 || 0.28343337774276733 || 4 || 4.131405830383301
252 || sin(X)/exp(C*X) || 0 || 0.2905431389808655 || 4 || 4.102962017059326
253 || sin(C*X)/sqrt(C*X) || 0 || 0.27090421319007874 || 5 || 4.163832664489746
259 || sin(X)/exp(C*X) || 5 || 0.8618066310882568 || 4 || 4.1818766593933105
260 || sin(C*X)+exp(C*X) || 0 || 0.28190669417381287 || 5 || 4.179874897003174
261 || sin(X)+exp(C*X) || 0 || 0.2625579237937927 || 4 || 4.159805774688721
262 || sin(C*X)+log(C*X) || 0 || 0.2296157330274582 || 5 || 4.1141037940979
263 || sin(C*X)+log(X) || 0 || 0.3242318630218506 || 4 || 4.153446674346924
266 || sin(X)-log(X) || 2 || 0.6041463613510132 || 3 || 4.030477046966553
267 || sin(X)-log(C) || 0 || 0.2832805812358856 || 3 || 3.8691227436065674
271 || sin(X)-log(X) || 3 || 0.4796147644519806 || 3 || 3.891183614730835
279 || sin(X)-log(C) || 7 || 0.780619204044342 || 3 || 3.95217227935791
280 || sin(X)+log(C) || 0 || 0.23419441282749176 || 3 || 4.082791328430176
282 || sin(X)+log(X) || 1 || 0.39166775345802307 || 3 || 4.07490873336792
283 || sin(X)/log(X) || 0 || 0.2742679715156555 || 3 || 4.1544389724731445
287 || sin(X)/log(C) || 3 || 0.5284198522567749 || 3 || 4.207420825958252
288 || sin(X)/exp(C) || 0 || 0.25866758823394775 || 3 || 4.381247043609619
290 || exp(X)/exp(C) || 1 || 0.3842538297176361 || 3 || 4.399223804473877
295 || exp(X)/exp(X) || 4 || 0.651931881904602 || 3 || 4.51898193359375
312 || exp(X)/exp(C) || 16 || 0.9697213768959045 || 3 || 4.4797515869140625
313 || sin(X)/exp(C) || 0 || 0.27560943365097046 || 3 || 4.848410606384277
318 || exp(X)/exp(C) || 4 || 0.5639411807060242 || 3 || 4.842799663543701
323 || sin(X)/exp(C) || 4 || 0.6322035789489746 || 3 || 4.70440149307251
324 || sin(X)+exp(C) || 0 || 0.281054824590683 || 3 || 4.669933319091797
327 || sin(C*X)+X || 2 || 0.5902675986289978 || 3 || 4.705714225769043
329 || exp(C*X)+X || 1 || 0.3620324730873108 || 3 || 4.919546127319336
330 || exp(C*X)+exp(C) || 0 || 0.24134571850299835 || 4 || 4.891226768493652
335 || exp(C*X)+X || 4 || 0.6579636931419373 || 3 || 4.899050712585449
340 || exp(X*X)+X || 4 || 0.4920715391635895 || 3 || 4.85638427734375
344 || exp(C-X)+X || 3 || 0.5917786359786987 || 3 || 4.81291389465332
347 || exp(C-X)+exp(C) || 2 || 0.4144458472728729 || 4 || 5.010740756988525
354 || exp(C-X)+log(C) || 6 || 0.6300494074821472 || 4 || 5.127106189727783
357 || exp(X)+log(C) || 2 || 0.5496330261230469 || 3 || 5.204952239990234
358 || exp(C*X)+log(C) || 0 || 0.35451796650886536 || 4 || 5.295686721801758
359 || exp(C*X)/log(C) || 0 || 0.2783694565296173 || 4 || 5.318184852600098
364 || exp(C*X)+log(C) || 4 || 0.51792311668396 || 4 || 5.25705099105835
366 || exp(X)+log(C) || 1 || 0.4131888449192047 || 3 || 5.226954936981201
367 || exp(C*X)+X || 0 || 0.26360130310058594 || 3 || 5.230188846588135
368 || exp(C-X)/X || 0 || 0.26472175121307373 || 3 || 5.160641670227051
369 || exp(C-X)+X || 0 || 0.28903475403785706 || 3 || 5.233697891235352
370 || exp(C-X)-X || 0 || 0.30940839648246765 || 3 || 5.169680118560791
372 || exp(C-X)+X || 1 || 0.4017413556575775 || 3 || 5.163239479064941
373 || exp(X)+X || 0 || 0.34873273968696594 || 2 || 5.196869850158691
374 || exp(C-X)+X || 0 || 0.2898976802825928 || 3 || 5.187870025634766
375 || exp(X)+X || 0 || 0.26433053612709045 || 2 || 5.121596813201904
376 || exp(C-X)+X || 0 || 0.2733551561832428 || 3 || 5.111631393432617
377 || exp(X)+X || 0 || 0.2591969668865204 || 2 || 5.070315837860107
378 || exp(C-X)+X || 0 || 0.3410729765892029 || 3 || 5.094328880310059
379 || exp(X)+X || 0 || 0.28004270792007446 || 2 || 5.10642671585083
383 || exp(X)-X || 3 || 0.5642701387405396 || 2 || 5.160238265991211
384 || exp(cos(C))-X || 0 || 0.2545011043548584 || 3 || 5.297289848327637
386 || exp(X)-X || 1 || 0.38231390714645386 || 2 || 5.233107566833496
387 || exp(X)/X || 0 || 0.2586500942707062 || 2 || 5.305089950561523
405 || exp(X)-X || 17 || 1.1846566200256348 || 2 || 5.319878101348877
406 || exp(X)/X || 0 || 0.28776898980140686 || 2 || 5.6985392570495605
410 || exp(X)-X || 3 || 0.4964204728603363 || 2 || 5.769830703735352
411 || exp(X)/X || 0 || 0.2713567018508911 || 2 || 5.770831108093262
415 || exp(cos(C))/X || 3 || 0.6951236128807068 || 3 || 5.7782487869262695
416 || exp(X)/X || 0 || 0.2506363093852997 || 2 || 5.793210029602051
418 || exp(X)-X || 1 || 0.3983331322669983 || 2 || 5.777083396911621
425 || exp(cos(C))-X || 6 || 0.8143347501754761 || 3 || 5.82415771484375
430 || exp(cos(C))+X || 4 || 0.6489174962043762 || 3 || 5.790859222412109
431 || exp(X)-X || 0 || 0.280682772397995 || 2 || 5.748143672943115
432 || exp(X)+X || 0 || 0.2857067286968231 || 2 || 5.815201282501221
433 || exp(cos(C))+X || 0 || 0.25735709071159363 || 3 || 5.841058731079102
437 || exp(cos(C))-X || 3 || 0.5429799556732178 || 3 || 5.795032024383545
444 || exp(C^X)-X || 6 || 0.8437610268592834 || 3 || 5.797824859619141
445 || exp(X^2)/X || 0 || 0.2786695063114166 || 3 || 5.886078357696533
446 || cos(X^2)/X || 0 || 0.23608021438121796 || 3 || 5.876090049743652
447 || exp(X^X)/X || 0 || 0.2833258807659149 || 3 || 5.862636566162109
448 || exp(X^2)/X || 0 || 0.25048327445983887 || 3 || 5.796659469604492
